20.00	86.77
20.14	86.81
20.29	86.87
20.44	77.37
20.59	86.97
20.74	86.98
20.89	87.07
21.04	87.11
21.19	87.17
21.34	87.17
21.50	87.26
21.65	87.28
21.81	87.36
21.97	87.36
22.13	87.46
22.29	87.46
22.45	87.56
22.61	87.58
22.78	87.66
22.94	87.66
23.11	87.76
23.27	87.76
23.44	87.86
23.61	87.76
23.78	87.71
23.96	87.63
24.13	87.55
24.30	87.46
24.48	87.38
24.66	87.30
24.84	87.22
25.02	87.13
25.20	87.05
25.38	86.97
25.56	86.89
25.75	86.80
25.94	86.72
26.12	86.64
26.31	86.56
26.50	86.47
26.70	86.39
26.89	86.31
27.09	86.23
27.28	86.14
27.48	86.06
27.68	85.98
27.88	85.90
28.08	85.81
28.28	85.79
28.49	85.79
28.70	85.81
28.90	85.88
29.11	85.88
29.32	85.88
29.54	84.80
29.75	85.00
29.97	85.98
30.18	85.98
30.40	85.98
30.62	79.50
30.84	86.08
31.07	86.08
31.29	86.08
31.52	86.13
31.75	86.18
31.98	86.18
32.21	86.18
32.44	86.23
32.68	86.26
32.92	86.28
33.15	86.28
33.39	86.23
33.64	86.18
33.88	86.18
34.13	86.18
34.37	86.18
34.62	86.18
34.87	86.13
35.13	86.11
35.38	86.08
35.64	86.08
35.89	86.08
36.15	86.08
36.42	86.03
36.68	86.01
36.95	85.98
37.21	85.98
37.48	85.98
37.75	85.97
38.03	85.88
38.30	85.88
38.58	85.87
38.86	85.79
39.14	83.27
39.43	83.07
39.71	82.66
40.00	85.66
40.29	85.59
40.58	85.59
40.88	79.35
41.17	85.49
41.47	85.49
41.77	85.44
42.07	85.39
42.38	85.39
42.69	85.39
42.99	85.49
43.31	85.49
43.62	85.49
43.94	85.59
44.25	85.59
44.58	85.59
44.90	85.69
45.22	85.69
45.55	85.69
45.88	85.79
46.21	85.79
46.55	85.79
46.89	85.88
47.23	85.89
47.57	85.97
47.91	85.98
48.26	86.08
48.61	86.08
48.96	86.18
49.32	86.19
49.67	86.28
50.03	86.30
50.40	86.38
50.76	86.41
51.13	81.20
51.50	86.53
51.87	86.57
52.25	86.65
52.63	86.69
